timestamp;machine_id;shift;production_pieces;good_pieces;scrap_pieces;power_kW;run_time_h;energy_kWh;Desperdicio_kWh;Ef_Prod;Ef_Energ;Status;Custo_Total_R$;Custo_Desperdicio_R$;Dinheiro_Util_R$;cluster
2025-01-01 06:00:00;INJ-01;Manhã;1037;986;51;21,7;0,9;19,519;0,864;0,9508196721311475;0,9557354372662534;Eficiente;12,687349999999999;0,5616;12,125749999999998;0
2025-01-01 06:00:00;INJ-02;Manhã;982;961;21;21,48;0,97;20,766;0,4;0,9786150712830958;0,980737744389868;Eficiente;13,4979;0,26;13,2379;1
2025-01-01 06:00:00;INJ-03;Manhã;1078;1056;22;22,81;0,99;22,637;0,416;0,9795918367346939;0,9816230065821443;Eficiente;14,71405;0,2704;14,44365;1
2025-01-01 06:00:00;INJ-04;Manhã;894;870;24;21,65;0,83;17,887;0,432;0,9731543624161074;0,9758483815061217;Eficiente;11,62655;0,2808;11,34575;1
2025-01-01 06:00:00;INJ-05;Manhã;704;682;22;21,89;0,78;17,182;3,135;0,96875;0,8175416133162612;Alerta;11,1683;2,03775;9,13055;1
2025-01-01 07:00:00;INJ-01;Manhã;931;896;35;18,89;0,95;17,878;0,605;0,9624060150375939;0,9661595256740128;Eficiente;11,620700000000001;0,39325;11,227450000000001;1
2025-01-01 07:00:00;INJ-02;Manhã;1005;962;43;18,87;0,76;14,368;0,553;0,9572139303482587;0,9615116926503341;Eficiente;9,3392;0,35945000000000005;8,97975;0
2025-01-01 07:00:00;INJ-03;Manhã;873;854;19;21,95;0,99;21,666;3,302;0,9782359679266895;0,8475953106249423;Alerta;14,0829;2,1463;11,9366;1
2025-01-01 07:00:00;INJ-04;Manhã;884;843;41;19,82;0,78;15,468;0,646;0,9536199095022625;0,9582363589345746;Eficiente;10,0542;0,41990000000000005;9,6343;0
2025-01-01 07:00:00;INJ-05;Manhã;859;811;48;19,79;0,92;18,118;1,187;0,9441210710128056;0,9344850424991721;Eficiente;11,7767;0,7715500000000001;11,00515;0
2025-01-01 08:00:00;INJ-01;Manhã;1015;973;42;17,69;0,8;14,084;0,525;0,9586206896551724;0,9627236580516898;Eficiente;9,1546;0,34125000000000005;8,81335;0
2025-01-01 08:00:00;INJ-02;Manhã;1055;1031;24;22,38;0,8;17,879;0,366;0,9772511848341232;0,9795290564349236;Eficiente;11,621350000000001;0,2379;11,383450000000002;1
2025-01-01 08:00:00;INJ-03;Manhã;951;918;33;20,46;0,82;16,731;0,523;0,9652996845425867;0,9687406610483533;Eficiente;10,875150000000001;0,33995000000000003;10,535200000000001;1
2025-01-01 08:00:00;INJ-04;Manhã;895;868;27;22,79;0,79;17,892;0,486;0,9698324022346368;0,9728370221327968;Eficiente;11,6298;0,3159;11,3139;1
2025-01-01 08:00:00;INJ-05;Manhã;943;897;46;21,75;0,77;16,717;0,734;0,9512195121951219;0,9560926003469522;Eficiente;10,86605;0,4771;10,38895;0
2025-01-01 09:00:00;INJ-01;Manhã;937;886;51;21,32;0,91;19,312;0,946;0,9455709711846318;0,9510149130074566;Eficiente;12,552800000000001;0,6149;11,9379;0
2025-01-01 09:00:00;INJ-02;Manhã;964;933;31;21,59;0,83;17,949;0,519;0,9678423236514523;0,9710847400969413;Eficiente;11,666850000000002;0,33735000000000004;11,329500000000001;1
2025-01-01 09:00:00;INJ-03;Manhã;1020;964;56;24,1;0,87;20,923;1,034;0,9450980392156862;0,9505807006643406;Eficiente;13,59995;0,6721;12,92785;0
2025-01-01 09:00:00;INJ-04;Manhã;957;909;48;19,04;0,94;17,95;0,81;0,9498432601880877;0,954874651810585;Eficiente;11,6675;0,5265000000000001;11,141;0
2025-01-01 09:00:00;INJ-05;Manhã;1152;1110;42;17,78;0,78;13,811;0,453;0,9635416666666666;0,9672000579248425;Eficiente;8,97715;0,29445000000000005;8,6827;0
2025-01-01 10:00:00;INJ-01;Manhã;1006;974;32;21,34;0,88;18,72;0,536;0,9681908548707754;0,9713675213675214;Eficiente;12,168;0,34840000000000004;11,8196;1
2025-01-01 10:00:00;INJ-02;Manhã;983;948;35;22,79;0,94;21,393;1,223;0,9643947100712106;0,9428317674005515;Eficiente;13,90545;0,79495;13,1105;1
2025-01-01 10:00:00;INJ-03;Manhã;899;848;51;20,02;0,95;19,056;1,373;0,9432703003337041;0,9279492023509656;Eficiente;12,386400000000002;0,8924500000000001;11,493950000000002;0
2025-01-01 10:00:00;INJ-04;Manhã;998;946;52;21,18;0,97;20,614;0,967;0,9478957915831663;0,9530901329193752;Eficiente;13,3991;0,62855;12,77055;0
2025-01-01 10:00:00;INJ-05;Manhã;1002;947;55;20,19;0,78;15,695;0,775;0,9451097804391217;0,9506212169480727;Eficiente;10,20175;0,50375;9,698;0
2025-01-01 11:00:00;INJ-01;Manhã;970;919;51;18,78;0,97;18,126;0,858;0,9474226804123711;0,9526646805693479;Eficiente;11,781900000000002;0,5577;11,224200000000002;0
2025-01-01 11:00:00;INJ-02;Manhã;1000;964;36;21,48;0,81;17,306;0,561;0,964;0,9675834970530451;Eficiente;11,2489;0,36465000000000003;10,884250000000002;1
2025-01-01 11:00:00;INJ-03;Manhã;934;881;53;19,35;0,83;16,08;0,821;0,943254817987152;0,9489427860696518;Eficiente;10,452;0,53365;9,91835;0
2025-01-01 11:00:00;INJ-04;Manhã;1071;1035;36;20,84;0,99;20,648;0,625;0,9663865546218487;0,9697307245253778;Eficiente;13,4212;0,40625;13,01495;1
2025-01-01 11:00:00;INJ-05;Manhã;898;870;28;16,12;0,76;12,237;0,343;0,9688195991091314;0,9719702541472584;Eficiente;7,9540500000000005;0,22295000000000004;7,7311000000000005;1
2025-01-01 12:00:00;INJ-01;Manhã;1004;982;22;27,42;0,82;22,474;1,313;0,9780876494023905;0,9415769333451989;Eficiente;14,6081;0,85345;13,75465;1
2025-01-01 12:00:00;INJ-02;Manhã;985;960;25;22,66;0,87;19,771;0,452;0,9746192893401016;0,9771382327651611;Eficiente;12,85115;0,2938;12,557350000000001;1
2025-01-01 12:00:00;INJ-03;Manhã;1045;1015;30;22,77;0,93;21,227;0,548;0,9712918660287081;0,9741838224902247;Eficiente;13,797550000000001;0,3562;13,441350000000002;1
2025-01-01 12:00:00;INJ-04;Manhã;1035;989;46;17,38;0,77;13,424;0,537;0,9555555555555556;0,9599970202622169;Eficiente;8,7256;0,34905;8,37655;0
2025-01-01 12:00:00;INJ-05;Manhã;862;839;23;21,83;0,9;19,598;1,611;0,9733178654292344;0,9177977344627003;Eficiente;12,7387;1,04715;11,69155;1
2025-01-01 13:00:00;INJ-01;Manhã;883;843;40;22,15;0,79;17,579;0,717;0,9546998867497168;0,9592126969679732;Eficiente;11,426350000000001;0,46605;10,960300000000002;1
2025-01-01 13:00:00;INJ-02;Manhã;931;878;53;25,41;0,78;19,931;1,636;0,9430719656283566;0,9179168130048668;Eficiente;12,955150000000001;1,0634;11,891750000000002;0
2025-01-01 13:00:00;INJ-03;Manhã;901;850;51;20,41;0,97;19,786;2,094;0,9433962264150944;0,894167593247751;Alerta;12,8609;1,3611;11,4998;0
2025-01-01 13:00:00;INJ-04;Manhã;991;939;52;17,75;0,88;15,665;0,74;0,9475277497477296;0,952760932014044;Eficiente;10,18225;0,481;9,70125;0
2025-01-01 13:00:00;INJ-05;Manhã;875;827;48;19,35;0,91;17,572;0,868;0,9451428571428572;0,9506032324152061;Eficiente;11,4218;0,5642;10,8576;0
2025-01-01 14:00:00;INJ-01;Tarde;857;811;46;20,19;0,97;19,676;2,785;0,9463243873978997;0,858457003455987;Alerta;12,789399999999999;1,8102500000000001;10,979149999999999;0
2025-01-01 14:00:00;INJ-02;Tarde;968;920;48;23,86;0,77;18,399;0,821;0,9504132231404959;0,9553780096744389;Eficiente;11,95935;0,53365;11,4257;0
2025-01-01 14:00:00;INJ-03;Tarde;933;913;20;20,6;0,79;16,282;0,314;0,9785637727759914;0,9807148998894485;Eficiente;10,583300000000001;0,2041;10,3792;1
2025-01-01 14:00:00;INJ-04;Tarde;1023;972;51;22,53;0,93;20,905;0,938;0,9501466275659824;0,9551303515905286;Eficiente;13,58825;0,6097;12,97855;0
2025-01-01 14:00:00;INJ-05;Tarde;798;755;43;18,3;0,96;17,613;1,857;0,9461152882205514;0,8945665133708056;Alerta;11,44845;1,20705;10,241399999999999;0
2025-01-01 15:00:00;INJ-01;Tarde;1011;985;26;27,27;0,84;22,962;1,823;0,9742828882294757;0,9206079609790088;Eficiente;14,9253;1,18495;13,74035;1
2025-01-01 15:00:00;INJ-02;Tarde;883;826;57;21,31;0,85;18,073;1,05;0,9354473386183465;0,9419022851767831;Eficiente;11,74745;0,6825000000000001;11,06495;0
2025-01-01 15:00:00;INJ-03;Tarde;932;879;53;24,0;0,88;21,012;2,749;0,9431330472103004;0,8691699980963259;Alerta;13,6578;1,78685;11,87095;0
2025-01-01 15:00:00;INJ-04;Tarde;863;837;26;27,47;0,82;22,529;4,726;0,9698725376593279;0,790225931022238;Alerta;14,64385;3,0719000000000003;11,571950000000001;1
2025-01-01 15:00:00;INJ-05;Tarde;858;833;25;20,49;0,99;20,252;2,457;0,9708624708624709;0,8786786490223187;Alerta;13,1638;1,5970499999999999;11,56675;1
2025-01-01 16:00:00;INJ-01;Tarde;933;912;21;24,67;0,98;24,229;4,656;0,977491961414791;0,8078335878492715;Alerta;15,748850000000001;3,0263999999999998;12,722450000000002;1
2025-01-01 16:00:00;INJ-02;Tarde;985;922;63;22,94;0,96;22,097;3,085;0,9360406091370559;0,8603882880028964;Alerta;14,363050000000001;2,00525;12,357800000000001;0
2025-01-01 16:00:00;INJ-03;Tarde;848;798;50;18,84;0,83;15,625;0,829;0,9410377358490566;0,946944;Eficiente;10,15625;0,5388499999999999;9,6174;0
2025-01-01 16:00:00;INJ-04;Tarde;899;843;56;18,74;0,89;16,728;0,938;0,9377085650723026;0,9439263510282162;Eficiente;10,8732;0,6097;10,2635;0
2025-01-01 16:00:00;INJ-05;Tarde;872;815;57;19,01;0,88;16,721;0,984;0,9346330275229358;0,9411518449853478;Eficiente;10,86865;0,6396000000000001;10,22905;0
2025-01-01 17:00:00;INJ-01;Tarde;976;925;51;24,33;0,93;22,524;3,233;0,9477459016393442;0,8564642159474338;Alerta;14,640600000000001;2,1014500000000003;12,539150000000001;0
2025-01-01 17:00:00;INJ-02;Tarde;846;798;48;21,04;0,95;20,038;3,505;0,9432624113475178;0,8250823435472602;Alerta;13,024700000000001;2,27825;10,746450000000001;0
2025-01-01 17:00:00;INJ-03;Tarde;950;896;54;30,65;0,91;27,97;9,689;0,9431578947368421;0,6535931355023239;Crítico;18,1805;6,29785;11,882649999999998;0
2025-01-01 17:00:00;INJ-04;Tarde;955;897;58;22,92;0,84;19,339;1,057;0,9392670157068063;0,9453436061843943;Eficiente;12,57035;0,6870499999999999;11,8833;0
2025-01-01 17:00:00;INJ-05;Tarde;867;847;20;18,91;0,89;16,745;0,348;0,9769319492502884;0,9792176769184832;Eficiente;10,884250000000002;0,22619999999999998;10,658050000000001;1
2025-01-01 18:00:00;INJ-01;Tarde;1001;978;23;19,55;0,76;14,847;0,307;0,977022977022977;0,9793224220381221;Eficiente;9,65055;0,19955;9,451;1
2025-01-01 18:00:00;INJ-02;Tarde;914;889;25;25,5;0,88;22,451;3,446;0,9726477024070022;0,8465101777203687;Alerta;14,593150000000001;2,2399;12,353250000000001;1
2025-01-01 18:00:00;INJ-03;Tarde;858;816;42;23,67;0,77;18,258;1,11;0,951048951048951;0,9392047321721985;Eficiente;11,8677;0,7215000000000001;11,146199999999999;0
2025-01-01 18:00:00;INJ-04;Tarde;886;846;40;20,05;0,93;18,677;0,824;0,9548532731376975;0,955881565561921;Eficiente;12,14005;0,5356;11,60445;1
2025-01-01 18:00:00;INJ-05;Tarde;856;826;30;21,76;0,82;17,795;0,561;0,9649532710280374;0,968474290531048;Eficiente;11,56675;0,36465000000000003;11,202100000000002;1
2025-01-01 19:00:00;INJ-01;Tarde;890;870;20;22,85;0,99;22,634;3,952;0,9775280898876404;0,8253954228152337;Alerta;14,712100000000001;2,5688;12,143300000000002;1
2025-01-01 19:00:00;INJ-02;Tarde;987;948;39;25,0;0,79;19,837;0,705;0,9604863221884499;0,9644603518677219;Eficiente;12,89405;0,45825;12,4358;1
2025-01-01 19:00:00;INJ-03;Tarde;876;836;40;20,74;0,93;19,259;1,658;0,954337899543379;0,9139103795628019;Eficiente;12,51835;1,0776999999999999;11,44065;1
2025-01-01 19:00:00;INJ-04;Tarde;788;738;50;23,5;0,89;20,884;5,841;0,9365482233502538;0,72031220072783;Crítico;13,5746;3,79665;9,77795;0
2025-01-01 19:00:00;INJ-05;Tarde;755;731;24;24,85;0,94;23,342;7,928;0,9682119205298013;0,6603547253877131;Crítico;15,1723;5,1532;10,0191;1
2025-01-01 20:00:00;INJ-01;Tarde;983;941;42;24,8;0,77;19,21;0,739;0,9572736520854527;0,9615304528891202;Eficiente;12,486500000000001;0,48035;12,006150000000002;0
2025-01-01 20:00:00;INJ-02;Tarde;706;686;20;20,85;0,86;17,896;3,733;0,9716713881019831;0,7914059007599463;Alerta;11,6324;2,42645;9,205950000000001;1
2025-01-01 20:00:00;INJ-03;Tarde;1034;983;51;19,03;0,76;14,488;0,643;0,9506769825918762;0,9556184428492546;Eficiente;9,4172;0,41795000000000004;8,99925;0
2025-01-01 20:00:00;INJ-04;Tarde;991;948;43;18,32;0,91;16,761;0,655;0,9566094853683148;0,960921186086749;Eficiente;10,89465;0,42575;10,4689;0
2025-01-01 20:00:00;INJ-05;Tarde;839;799;40;20,92;0,89;18,703;1,928;0,9523241954707986;0,8969149334331391;Alerta;12,15695;1,2532;10,90375;1
2025-01-01 21:00:00;INJ-01;Tarde;1068;1023;45;20,38;0,89;18,062;0,685;0,9578651685393258;0,9620750747425534;Eficiente;11,740300000000001;0,44525000000000003;11,295050000000002;0
2025-01-01 21:00:00;INJ-02;Tarde;938;878;60;24,39;0,98;23,817;5,872;0,9360341151385928;0,753453415627493;Alerta;15,48105;3,8168;11,66425;0
2025-01-01 21:00:00;INJ-03;Tarde;933;910;23;20,81;0,83;17,264;0,383;0,9753483386923901;0,9778151065801668;Eficiente;11,2216;0,24895;10,97265;1
2025-01-01 21:00:00;INJ-04;Tarde;839;817;22;23,35;0,91;21,186;3,712;0,9737783075089392;0,8247899556310772;Alerta;13,770900000000001;2,4128000000000003;11,3581;1
2025-01-01 21:00:00;INJ-05;Tarde;882;832;50;22,07;0,79;17,531;0,894;0,9433106575963719;0,9490046203867435;Eficiente;11,39515;0,5811000000000001;10,81405;0
2025-01-01 22:00:00;INJ-01;Noite;976;895;81;26,64;0,85;22,73;4,738;0,9170081967213115;0,7915530136383634;Alerta;14,774500000000002;3,0797000000000003;11,6948;2
2025-01-01 22:00:00;INJ-02;Noite;1015;968;47;24,0;0,98;23,583;3,27;0,9536945812807882;0,861340796336344;Alerta;15,328949999999999;2,1255;13,203449999999998;0
2025-01-01 22:00:00;INJ-03;Noite;866;806;60;26,71;0,94;25,067;8,898;0,930715935334873;0,6450313160729246;Crítico;16,29355;5,7837;10,50985;0
2025-01-01 22:00:00;INJ-04;Noite;953;910;43;23,58;0,85;19,975;0,811;0,9548793284365162;0,9593992490613267;Eficiente;12,98375;0,52715;12,4566;0
2025-01-01 22:00:00;INJ-05;Noite;807;742;65;21,42;0,89;19,137;4,2;0,919454770755886;0,7805298636149867;Alerta;12,43905;2,7300000000000004;9,70905;0
2025-01-01 23:00:00;INJ-01;Noite;858;820;38;29,9;0,83;24,884;7,836;0,9557109557109557;0,6850988587043884;Crítico;16,1746;5,0934;11,081200000000003;1
2025-01-01 23:00:00;INJ-02;Noite;1006;934;72;27,04;0,95;25,619;6,721;0,9284294234592445;0,7376556462000858;Crítico;16,652350000000002;4,368650000000001;12,283700000000001;2
2025-01-01 23:00:00;INJ-03;Noite;882;855;27;22,31;0,89;19,801;1,537;0,9693877551020408;0,9223776576940559;Eficiente;12,87065;0,99905;11,871599999999999;1
2025-01-01 23:00:00;INJ-04;Noite;928;884;44;23,21;0,79;18,234;0,778;0,9525862068965517;0,9573324558517056;Eficiente;11,852100000000002;0,5057;11,346400000000003;0
2025-01-01 23:00:00;INJ-05;Noite;874;845;29;25,76;0,93;23,832;5,954;0,9668192219679634;0,7501678415575697;Alerta;15,4908;3,8701;11,6207;1
